Time(day),a(km),e,i(deg),n(deg),w(deg),f(deg),hp(km)
2512.81926157,nan,nan,     nan,     nan,     nan,     nan,nan
2513.81987773,nan,nan,     nan,     nan,     nan,     nan,nan
2517.82233982,nan,nan,     nan,     nan,     nan,     nan,nan
2520.32386912,nan,nan,     nan,     nan,     nan,     nan,nan
2532.33151360,nan,nan,     nan,     nan,     nan,     nan,nan
2535.33324882,nan,nan,     nan,     nan,     nan,     nan,nan
2544.33774380,nan,nan,     nan,     nan,     nan,     nan,nan
2549.33997676,nan,nan,     nan,     nan,     nan,     nan,nan
2553.34170803,nan,nan,     nan,     nan,     nan,     nan,nan
2556.34277147,nan,nan,     nan,     nan,     nan,     nan,nan
2560.34432651,nan,nan,     nan,     nan,     nan,     nan,nan
2562.34496154,nan,nan,     nan,     nan,     nan,     nan,nan
2566.34566999,nan,nan,     nan,     nan,     nan,     nan,nan
2587.34921026,nan,nan,     nan,     nan,     nan,     nan,nan
2604.34980904,nan,nan,     nan,     nan,     nan,     nan,nan
2628.35223116,nan,nan,     nan,     nan,     nan,     nan,nan
2637.85521997,nan,nan,     nan,     nan,     nan,     nan,nan
2640.35643795,nan,nan,     nan,     nan,     nan,     nan,nan
2651.86164099,nan,nan,     nan,     nan,     nan,     nan,nan
2658.86554686,nan,nan,     nan,     nan,     nan,     nan,nan
2665.36952532,nan,nan,     nan,     nan,     nan,     nan,nan
2671.37330382,nan,nan,     nan,     nan,     nan,     nan,nan
2673.87492373,nan,nan,     nan,     nan,     nan,     nan,nan
2675.87609783,nan,nan,     nan,     nan,     nan,     nan,nan
2679.37836178,nan,nan,     nan,     nan,     nan,     nan,nan
2681.87997282,nan,nan,     nan,     nan,     nan,     nan,nan
2688.88386569,nan,nan,     nan,     nan,     nan,     nan,nan
2694.38682701,nan,nan,     nan,     nan,     nan,     nan,nan
2715.39419721,nan,nan,     nan,     nan,     nan,     nan,nan
2721.39535335,nan,nan,     nan,     nan,     nan,     nan,nan
2724.39580106,nan,nan,     nan,     nan,     nan,     nan,nan
2726.39606798,nan,nan,     nan,     nan,     nan,     nan,nan
2778.39984696,nan,nan,     nan,     nan,     nan,     nan,nan
2829.42547020,nan,nan,     nan,     nan,     nan,     nan,nan
2830.42610863,nan,nan,     nan,     nan,     nan,     nan,nan
2836.42962495,nan,nan,     nan,     nan,     nan,     nan,nan
2840.43176142,nan,nan,     nan,     nan,     nan,     nan,nan
2848.43554760,nan,nan,     nan,     nan,     nan,     nan,nan
2854.43824579,nan,nan,     nan,     nan,     nan,     nan,nan
2866.44164812,nan,nan,     nan,     nan,     nan,     nan,nan
2879.44322952,nan,nan,     nan,     nan,     nan,     nan,nan
2881.44340283,nan,nan,     nan,     nan,     nan,     nan,nan
2886.44384151,nan,nan,     nan,     nan,     nan,     nan,nan
2893.44438055,nan,nan,     nan,     nan,     nan,     nan,nan
2904.44444830,nan,nan,     nan,     nan,     nan,     nan,nan
2908.44496219,nan,nan,     nan,     nan,     nan,     nan,nan
